ds_id,name,custodian,contents,access_tier,how_to_get,refresh,match_keys,consumed_by,caveats,link
DS-01,OIG List of Excluded Individuals/Entities (LEIE),HHS-OIG,All individuals/entities excluded from federal healthcare programs,PUBLIC-FREE,Monthly CSV download + online search API,Monthly,"NPI, name+DOB, EIN","PE screening (monthly LEIE/SAM); C-02; MC-12, MD-04, PE-07 (v1.1 ID-link)",Name matching needs fuzzy logic; verify hits against full record before action,https://oig.hhs.gov/exclusions/
DS-02,SAM.gov Exclusions (formerly EPLS),GSA,Government-wide debarments/exclusions,PUBLIC-FREE,Data extracts + API (api.sam.gov),Daily/continuous,"Name, DUNS/UEI, EIN","PE screening; vendor/FDR screening (MC-11); MC-12, MD-04, PE-04, PE-07 (v1.1 ID-link)",Broader than healthcare; classification codes matter,https://sam.gov/
DS-03,SSA Death Master File (DMF),SSA via NTIS,Death records for benefit/payment matching,RESTRICTED,NTIS certification + subscription; states often have direct SSA matches,Weekly/monthly,"SSN, name+DOB",MD-08 deceased-enrollee; deceased-provider checks; MD-04 (v1.1 ID-link),Full file restricted since 2011; state vital-records matches supplement; false positives on common names,https://dmf.ntis.gov/
DS-04,"State DOC + county jail rosters (""jail feeds"")",State corrections depts; county sheriffs,Incarceration status/booking data,MIXED (public rosters to formal data-sharing agreements),State DOC offender search/bulk files; county integrations vary; some states run centralized justice-data matches,Daily-monthly (varies),"Name+DOB, SSN where shared",MD-22 incarceration-status match (NEW),County coverage is the weak spot - prioritize state DOC + largest counties; CAA 2024 suspend-not-terminate (eff. 1/1/2026) makes this match load-bearing,state DOC sites / justice data-sharing MOUs
DS-05,PARIS (Public Assistance Reporting Information System),HHS ACF,Interstate matches of public-assistance enrollment (incl. Medicaid) + VA/federal payroll files,RESTRICTED (state agencies),State PARIS participation via ACF; quarterly match files,Quarterly,SSN,MD-07 interstate duplicate matching,State-agency only; quarterly lag; match resolution workflow is on you,https://www.acf.hhs.gov/paris
DS-06,NPPES (NPI Registry),CMS,"All NPIs with provider demographics, taxonomy, addresses",PUBLIC-FREE,Full monthly file + weekly updates + API,Weekly,NPI,Enrollment verification; ordering/referring validation; network analysis input (PE-05); PI-20 footprint consistency (v1.2 ID-link),Self-reported fields go stale; addresses lag reality,https://npiregistry.cms.hhs.gov/
DS-07,Medicare Order & Referring / PECOS enrollment files,CMS,Providers eligible to order/refer; enrollment status,PUBLIC-FREE,cms.gov data files,Weekly/monthly,NPI,"Order-validity checks (C-04/C-05); enrollment status verification; PE-01, PE-02, PE-06, PE-14 (v1.1 ID-link); PI-20 footprint consistency (v1.2 ID-link)",Medicare-scope; state Medicaid enrollment is separate,https://data.cms.gov/
DS-08,CMS Preclusion List,CMS,Providers precluded from MA/Part D payment,RESTRICTED (plans),Distributed to MA/Part D plans via HPMS,Monthly,"NPI, name",MC payment screening,Plan-only access; not public,via HPMS
DS-09,CMS Open Payments,CMS,Industry payments to physicians/teaching hospitals (COI/kickback indicator),PUBLIC-FREE,Bulk downloads + search,Annual + updates,"NPI, name",C-06 kickback/COI screen of referral relationships; PI-23 MSO/investment-kickback correlation (v1.2 ID-link),"Disclosure data, not wrongdoing; use as risk indicator only",https://openpaymentsdata.cms.gov/
DS-10,NCCI PTP edits + MUE files,CMS,Procedure-to-procedure and units-of-service edit tables,PUBLIC-FREE,Quarterly files,Quarterly,HCPCS/CPT pairs,"CB coding-edit controls; pre-payment edits; CB-04, CB-06, CB-07 (v1.1 ID-link)",Version discipline matters (currently v322r0 eff. 7/1/2026 per update monitor); Medicaid NCCI differs slightly,https://www.cms.gov/medicare/coding-billing/ncci-medicare
