id,module,name,type,stage,stage_name,gb_principle,citation_text,reg_ids,ds_ids,open_oversight_rec,analytics_technique,applies_to,dmepos,trigger,owner,system_touchpoint,evidence_artifact,frequency,failure_mode
PE-01,Module 01 — Provider Enrollment,Primary-source verification of all enrollment data before approval,Preventive,3,Enrollment,"P8, P10, P12",42 CFR 424 Subpart P; CMS PIM Pub 100-08 Ch.10,REG-041,DS-07,,Manual / none,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted,no,New/revalidation application received,Enrollment specialist,PECOS / credentialing system,Verification log per data element,Per app,Fabricated identity/credential enrollment
PE-02,Module 01 — Provider Enrollment,PECOS/enrollment-of-record data reconciliation cycle,Detective,3,Enrollment,"P8, P10, P12",OIG OEI-03-13-00050 (Enhanced Enrollment Screening of Medicare Providers); GAO-25-106976 (2025) - interstate enrollment data-matching (PARIS) (open rec),REG-050; REG-062; REG-074,DS-07,Yes,Data qa,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted,no,Quarterly data-quality run,Enrollment data steward,PECOS extract + QA tool,Reconciliation exception report,Quarterly,Stale/inaccurate record enabling fraud
PE-03,Module 01 — Provider Enrollment,"Full beneficial-ownership capture (5%+ owners, managing employees, officials)",Preventive,3,Enrollment,"P8, P10, P12",42 CFR 424 Subpart P; 42 CFR 424.516,REG-017,DS-16,,Manual / none,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted,no,Application & any ownership change,Enrollment specialist,855 / ownership module,Completed ownership schedule | Corroborate vs CMS/state disclosure + SOS/SAM (FinCEN BOI retired 2026-08-14) — self-report = ceiling 2 unless registry-matched.,Per app/change,Hidden ownership / straw owners
PE-04,Module 01 — Provider Enrollment,Owner reconciliation vs. record + OIG/SAM/adverse databases,Preventive,3,Enrollment,"P8, P10, P12",42 CFR 455 Subpart E / 455.436; OIG 2016 - Medicare Vulnerabilities: Provider Enrollment & Ownership Disclosure,,DS-02; DS-16,,Matching,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted,no,Before enrollment approval,PI analyst,Screening engine,Owner-match exception resolution | Corroborate vs SAM.gov (DS-02) + SOS registry; FinCEN BOI retired 2026-08-14.,Per app,Excluded/adverse owner slips through (OIG 3/4 mismatch)
PE-05,Module 01 — Provider Enrollment,Beneficial-ownership network/graph analysis,Detective,3,Enrollment,"P8, P10, P12",DOJ 2025 Operation Gold Rush; Program Integrity Alliance - Transparency by Design (company registry / single identifier),,DS-06,,Graph/network,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted,no,Application + monthly portfolio scan,PI data analyst,Graph analytics platform,Network-link alert disposition,Monthly,Shell-company rings (Gold Rush)
PE-06,Module 01 — Provider Enrollment,30-day ownership-change enforcement & unreported-change detection,Detective,8,Corrective action,"P17, P15",42 CFR 424.516; OIG (2025) - EFT payment-diversion fraud (open rec),REG-017,DS-07,Yes,External data,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted,no,Any ownership/control-change event + monthly external-feed reconciliation vs PECOS-of-record,Enrollment ops,PECOS + external data feed,Change-report tracking log,Continuous,Undisclosed control changes
PE-07,Module 01 — Provider Enrollment,Exclusion screening at enrollment (LEIE + SAM),Preventive,3,Enrollment,"P8, P10, P12",OIG Compliance Program Guidance (2023),,DS-01; DS-02,,Matching,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted,no,"At onboarding / pre-enrollment, before approval",Enrollment specialist,Exclusion-screening tool,Dated LEIE file version + SAM check + party snapshot screened + match output (retain 'no matches' result); retain >=6 yrs,At onboarding / pre-enrollment (point-in-time),Excluded provider enrollment
PE-08,Module 01 — Provider Enrollment,Monthly automated exclusion re-screening of active providers,Detective,3,Enrollment,"P8, P10, P12",OIG Compliance Program Guidance (2023),,,,Matching,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted | Monthly re-screen (PE-08) applies where an active-provider roster is maintained (Entity Profile B16=Y); at-enrollment screening (PE-07) is universal.,no,"Monthly, aligned to OIG LEIE release (~10th)",Compliance/PI,Exclusion-screening tool,Dated LEIE file version used + active-roster snapshot screened + match output (retain 'no matches' result); confirmed matches remediated <=5 business days; retain >=6 yrs,"Monthly, aligned to OIG LEIE release (~10th; file covers actions through prior month)",Post-enrollment exclusion not caught
PE-09,Module 01 — Provider Enrollment,State Medicaid exclusion / NPDB / death-master checks,Preventive,3,Enrollment,"P8, P10, P12",42 CFR 455 Subpart E / 455.436; OIG OEI-05-13-00520 (Medicaid Enhanced Provider Screenings),REG-076,,,Matching,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted,no,Enrollment + periodic,PI analyst,Multi-source screening,Multi-list screening log,Per app + periodic,Cross-program excluded actors
PE-10,Module 01 — Provider Enrollment,Risk-level assignment per documented methodology,Preventive,3,Enrollment,"P8, P10, P12",42 CFR 424 Subpart P; 42 CFR 424.518,REG-018,,,Manual / none,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted,no,Each application,Enrollment supervisor,Enrollment workflow,Risk-tier determination record,Per app,Under-screening high-risk types
PE-11,Module 01 — Provider Enrollment,Unannounced site visits for Moderate/High-risk providers,Preventive,3,Enrollment,"P8, P10, P12",42 CFR 424 Subpart P; 42 CFR 424.518,REG-018,,,Manual / none,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted,no,Risk tier >= Moderate,Site-visit contractor,Site-visit system,Site-visit report + photos,Per app + cyclic,Phantom/virtual storefront suppliers
PE-12,Module 01 — Provider Enrollment,Site-visit / decision reconciliation control,Detective,3,Enrollment,"P8, P10, P12",OIG OEI-03-13-00050 (Enhanced Enrollment Screening of Medicare Providers),REG-074,,,Manual / none,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted,no,After each site visit,Enrollment supervisor,Enrollment workflow,Decision-vs-finding reconciliation,Per visit,Approval despite adverse site visit (OIG)
PE-13,Module 01 — Provider Enrollment,"Fingerprint-based background checks (5%+ owners, High-risk)",Preventive,3,Enrollment,"P8, P10, P12",42 CFR 424.518,REG-018,,,Manual / none,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted,no,High-risk enrollment,PI / fingerprint vendor,FBI/contractor system,Fingerprint clearance record,Per app,Criminal actors owning High-risk suppliers
PE-14,Module 01 — Provider Enrollment,Revalidation cycle enforcement + auto-deactivation,Detective,8,Corrective action,"P17, P15",42 CFR 424 Subpart P; CMS PIM Pub 100-08 Ch.10,REG-041,DS-07,,Cycle tracking,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted,no,5-yr (3-yr DMEPOS) cycle,Enrollment ops,PECOS revalidation queue,Revalidation status report,Per cycle,Dormant/abandoned billing numbers misused
PE-15,Module 01 — Provider Enrollment,New-provider billing-velocity watch (first 60-90 days),Detective,3,Enrollment,"P8, P10, P12",DOJ 2025 Operation Gold Rush; Program Integrity Alliance - Value-for-Money in Anti-Fraud Efforts,,,,Velocity,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted,no,Enrollment effective date,PI data analyst,Claims analytics,Velocity-alert disposition,Continuous,Rapid bust-out billing post-enrollment
PE-16,Module 01 — Provider Enrollment,Acquisition-velocity flag (owner acquiring many numbers fast),Detective,3,Enrollment,"P8, P10, P12",DOJ 2025 Operation Gold Rush; Program Integrity Alliance - Value-for-Money in Anti-Fraud Efforts,,DS-16,,Velocity/graph,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted,no,Ongoing portfolio scan,PI data analyst,Graph + enrollment analytics,Acquisition-velocity alert | Ownership corroboration via SOS/SAM + CMS disclosure; FinCEN BOI retired 2026-08-14.,Monthly,Mass acquisition of suppliers (Gold Rush)
PE-17,Module 01 — Provider Enrollment,DMEPOS surety bond & accreditation verification,Preventive,3,Enrollment,"P8, P10, P12","42 CFR 424.57(c),(d) — DMEPOS supplier standards, accreditation & $50,000 surety bond; SSA §1834(a)(16)",,,,Manual / none,Enrolling providers & suppliers (Medicare/Medicaid); DMEPOS where noted — DMEPOS-specific,yes,DMEPOS enrollment/revalidation,Enrollment specialist,NSC / accreditation data,Bond + accreditation on file,Per app/cycle,Unaccountable DMEPOS suppliers
