reg_id,instrument_type,citation,cited_by,link,note
REG-001,Statute,SSA 1905(a)(29),MD-22,https://www.ssa.gov/OP_Home/ssact/title19/1905.htm,SSA definitions incl. inmate payment exclusion 1905(a)(29)(A)
REG-002,Regulation,42 CFR 401.305,PI-07; PI-08,https://www.ecfr.gov/current/title-42/section-401.305,60-day rule: identified overpayments must be reported & returned within 60 days; 6-year lookback
REG-003,Regulation,42 CFR 405.371,PI-16,https://www.ecfr.gov/current/title-42/section-405.371,Suspension of Medicare payments in whole/part on a credible allegation of fraud
REG-004,Regulation,42 CFR 405.980,PI-09; PI-13,https://www.ecfr.gov/current/title-42/section-405.980,Reopening of claim determinations & redeterminations to correct errors
REG-005,Regulation,42 CFR 410.32,CD-08,https://www.ecfr.gov/current/title-42/section-410.32,Diagnostic lab/imaging & other tests must be ordered by the treating physician/practitioner
REG-006,Regulation,42 CFR 410.38,CD-09; PA-01; PA-03; PA-04,https://www.ecfr.gov/current/title-42/section-410.38,DMEPOS face-to-face/written order requirements
REG-007,Regulation,42 CFR 414.234,PA-01; PA-02,https://www.ecfr.gov/current/title-42/section-414.234,"DMEPOS prior authorization requirements. Lists updated by FR notice CMS-6109-N (Jul 30, 2026): +20 Master List / +8 Required PA List HCPCS, eff Oct 28, 2026; upper-limb L3761/L3916 phased Oct 28 2026-Apr 26 2027 by state. (updated 2026-08-03)"
REG-008,Regulation,42 CFR 422.101(c),PA-19,https://www.ecfr.gov/current/title-42/section-422.101,MA plans must cover all Part A/B services available in the service area (basic benefits) and follow Traditional Medicare coverage criteria
REG-009,Regulation,42 CFR 422.2440,MC-18,https://www.ecfr.gov/current/title-42/section-422.2440,"MLR credibility adjustment: partially-credible MA contracts (2,400-180,000 member months) may add an adjustment to the medical loss ratio"
REG-010,Regulation,42 CFR 422.310,MC-04; MC-05; MC-07,https://www.ecfr.gov/current/title-42/section-422.310,MA risk-adjustment data requirements
REG-011,Regulation,42 CFR 422.326,MC-19,https://www.ecfr.gov/current/title-42/section-422.326,Part C 60-day rule: MA orgs must report & return identified overpayments within 60 days; 6 most-recent completed payment years lookback
REG-012,Regulation,42 CFR 422.503(b)(4)(vi),MC-01; MC-02; MC-03; MC-09,https://www.ecfr.gov/current/title-42/section-422.503,"MA contract condition: adopt & implement an effective compliance program to prevent, detect & correct non-compliance and FWA; compliance officer/committee required"
REG-013,Regulation,42 CFR 423.120,MC-15,https://www.ecfr.gov/current/title-42/section-423.120,"Part D pharmacy access: convenient retail network (urban 90% within 2 miles), any-willing-pharmacy on standard terms, out-of-network access rules"
REG-014,Regulation,42 CFR 423.153(f),MC-14,https://www.ecfr.gov/current/title-42/section-423.153,Part D drug management programs for at-risk beneficiaries (opioid/frequently-abused-drug overutilization)
REG-015,Regulation,42 CFR 423.504(b)(4)(vi),MC-11; MC-21,https://www.ecfr.gov/current/title-42/section-423.504,"Part D sponsor condition: effective compliance program (mirrors §422.503) to prevent, detect & correct non-compliance and FWA"
REG-016,Regulation,42 CFR 424.5,CB-01,https://www.ecfr.gov/current/title-42/section-424.5,Basic conditions a claim must meet before Medicare will pay
REG-017,Regulation,42 CFR 424.516,CD-11; PE-03; PE-06,https://www.ecfr.gov/current/title-42/section-424.516,Providers must report enrollment changes (30/90 days) & retain ordering/referring records
REG-018,Regulation,42 CFR 424.518,PE-10; PE-11; PE-13,https://www.ecfr.gov/current/title-42/section-424.518,Risk-based enrollment screening: limited / moderate / high categorical risk levels
