flag_family,signals,implied_scheme,stage,control_fixes,first_artifact,evidence,priority,diagnostic_inputs,failure_mode_fix
Upcoding / coding-intensity outlier,E&M level creep; modifier abuse; peer-percentile spikes,Upcoding / E&M; MA risk adjustment,6 Adjudication/Payment,C-07 Claims Billing - coding-intensity outlier report vs peer baseline (Mod 03/06),Quarterly coding-outlier report + workpapers,21 cases / $0.2B (+50 MA-RA / $2.0B),High,1) Provider/service in scope for outlier review? 2) Peer-baseline coding-intensity report designed? 3) Run for the period & outliers worked (report + workpapers)? 4) Flagged outliers dispositioned with rationale? 5) Ran but this pattern missed = peer-group/threshold gap.,Absent: no outlier report -> build C-07. Not operating: not run/worked -> schedule + owner. Bypassed: outliers cleared no rationale -> require documented disposition. Ineffective: peer group/threshold loose -> re-tune.
Risk-adjustment diagnosis anomaly,Unsupported HCC adds; chart-review adds with no deletes; addenda-driven codes,MA risk adjustment,6 Adjudication/Payment,C-01 MA-RA independent chart re-review; MC-05 two-directional chart review (Mod 06),Add/delete reconciliation report per RA project,50 cases / $2.0B,High,1) RA project/provider in scope for chart validation? 2) Independent two-directional (adds+deletes) chart review designed? 3) Performed for the submission (add/delete reconciliation)? 4) Unsupported HCCs withdrawn/dispositioned? 5) Ran but deletes not submitted = one-directional design flaw.,Absent: no independent validation -> build C-01/MC-05. Not operating: no reconciliation for the project -> schedule per RA cycle. Bypassed: unsupported adds kept -> enforce withdrawal. Ineffective: adds-only review -> require two-directional.
Phantom billing - services not rendered,Billing with no visit/encounter footprint; patient denies service,Services not rendered (multiple categories),5 Delivery/Documentation,C-05 service-delivery validation; C-08 EVV reconciliation (Mod 02/05),Billed-vs-EVV (or visit-log) variance report,105+ cases / $1.5B+,High,1) Service EVV/visit-verifiable & in scope? 2) Billed-vs-delivered (EVV/visit-log) reconciliation designed? 3) Run for the period (variance report)? 4) Variances investigated/recouped? 5) Ran but no-footprint claims missed = match-logic/source-coverage gap.,Absent: no delivery validation -> build C-05/C-08. Not operating: no variance report -> operationalize. Bypassed: variances not worked -> disposition SLA. Ineffective: match logic misses -> widen source coverage.
Impossible-day / overlapping-visit volume,>24 hrs/day billed; simultaneous visits; geographic impossibility,Personal care / home care; PT,5 Delivery + 7 Monitoring,C-08 EVV visit verification + impossible-combination pattern monitor (Mod 02/05),"EVV exception log, worked monthly",53 cases / $0.4B (+38 PT/chiro),High,1) Provider type EVV-covered & in scope? 2) Impossible-day/overlap monitor designed on EVV data? 3) EVV exception log produced & worked monthly? 4) Impossible-day exceptions dispositioned? 5) Ran but no overlap/geo rule = rule-logic gap.,Absent: no EVV/overlap monitor -> build C-08. Not operating: exception log not worked -> monthly cadence + owner. Bypassed: exceptions closed no-action -> require rationale. Ineffective: no overlap/geo rule -> add the rule.
Prior authorization absent or bypassed,Claim paid with no PA/UTN on file for a PA-required code,DME; wound care; lab,4 Authorization,C-04/C-07 claim-to-PA match edit (pend if no PA) (Mod 04),PA-to-claim exception report,98 DME / $2.8B,High,1) Code on the applicable PA / Master List (scope)? 2) Claim-to-PA match edit configured (design)? 3) Edit ran / PA-to-claim exception report exists (operation)? 4) Claim manually overridden/force-paid without PA (override log)? 5) Edit ran but code not in its list = coverage gap.,Absent: no match edit -> build C-04. Not operating: edit disabled/not run -> enable + monitor. Bypassed: override without PA -> require override sign-off + reason. Ineffective: PA code set incomplete -> update the required-PA list.
High-cost product/service spike,"Skin substitutes, genetic panels, specialty DME surges; max-size units",Wound care / amniotic allograft; telemed-genetic,4 Authorization,C-07/C-09 pre-payment medical-necessity gate + physician attestation of personal evaluation (Mod 04/05),Signed attestation on file per high-$ order,149 cases / $13.5B combined,High,1) High-$ item in the necessity-gate/attestation scope? 2) Pre-payment necessity gate + physician-attestation requirement designed? 3) Ran (attestation-on-file check for the period)? 4) Missing-attestation claims paid via override? 5) Ran but item outside gate scope = scope gap.,Absent: no necessity gate -> build C-07/C-09. Not operating: attestation not enforced -> turn on the check. Bypassed: paid without attestation -> pre-pay hold. Ineffective: item outside gate scope -> extend the list.
Deceased or ineligible beneficiary on claim,DOS after date of death; coverage lapse; wrong program,Eligibility exploitation,2 Eligibility,MD-08 deceased-enrollee/DMF check; MD-22 incarceration/institutional-status match (NEW 2026-07); MD-06 eligibility verification (Mod 07); extend Medicare-side per evaluation,Monthly DMF-match exception report,Cross-cutting (Gold Rush mechanic #2),High,1) Program in scope for DMF/eligibility/incarceration matching? 2) Match controls designed? 3) Monthly match run (DMF-match exception report)? 4) Post-DOD/ineligible claims recouped/dispositioned? 5) Ran but source (DMF/incarceration file) stale = data-currency gap.,Absent: no DMF/eligibility match -> build MD-08/MD-06/MD-22. Not operating: not run monthly -> schedule. Bypassed: hits not recouped -> recovery SLA. Ineffective: stale match source -> refresh feed cadence.
Beneficiary-identity anomalies,Many beneficiaries new to provider; out-of-area clustering; ID-theft complaints,Telemarketing / stolen identities,2 Eligibility + 4 Authorization,"C-04 beneficiary contact verification before payment, tiered by $ and velocity (Mod 04)",Contact-confirmation log for high-$ claims,Feeds DME/telemed mega-schemes ($10.6B Gold Rush),High,1) Claim above the $/velocity threshold for contact verification (scope)? 2) Tiered beneficiary-contact verification designed? 3) Performed (contact-confirmation log)? 4) Unverified high-$ claims paid anyway? 5) Ran but threshold too high = tiering gap.,Absent: no contact verification -> build C-04. Not operating: log not maintained -> operationalize. Bypassed: paid before confirmation -> pre-pay hold on tier. Ineffective: threshold misses cluster -> lower / tie to velocity.
Ownership-network hit,Shared addresses/officers/bank accounts; nominee patterns,Provider enrollment / nominee / TCO,3 Enrollment,PE-05 ownership network/graph analysis; PE-16 acquisition-velocity flag; PE-14 revalidation + auto-deactivation (Mod 01),Network-link alert disposition log,47 cases / $1.5B (tail: $10.6B),High,1) Provider in a screening tier requiring network analysis (scope)? 2) Ownership network/graph analysis designed? 3) Run & alerts dispositioned (link-alert log)? 4) Network hits cleared without action? 5) Ran but nominee/shared-account signals not modeled = feature gap.,Absent: no network analysis -> build PE-05. Not operating: alerts not worked -> disposition SLA. Bypassed: hits cleared no-action -> require rationale + escalation. Ineffective: signals missing -> add shared-address/account/officer features.
New-provider billing surge,Rapid ramp shortly after enrollment/ownership change,Enrollment exploitation,3 Enrollment + 7 Monitoring,PE-16 + new-provider claim-volume monitoring (emergency-floor control set),New-provider volume watchlist report,47 cases + COVID-era pattern,High,1) Provider within the post-enrollment watch window (scope)? 2) New-provider volume watchlist designed? 3) Watchlist produced & worked? 4) Surges dispositioned? 5) Ran but ramp threshold too loose = threshold gap.,Absent: no new-provider watch -> build PE-16 monitor. Not operating: watchlist not produced -> schedule. Bypassed: surges not reviewed -> assign owner. Ineffective: ramp threshold loose -> tighten.
